Director,Movie,Date,Rating
"George Miller (dir.), Tom Hardy, Charlize Theron",Mad Max: Ο δρόμος της οργής,(2015),8.1
"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",Αντρέι Ρουμπλιόφ,(1966),8.1
"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",Platoon,(1986),8.1
"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",Rush,(2013),8.1
"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",Million Dollar Baby,(2004),8.1
"Lasse Hallström (dir.), Richard Gere, Joan Allen",Hachiko: Η ιστορία ενός σκύλου,(2009),8.1
"James Mangold (dir.), Hugh Jackman, Patrick Stewart",Λόγκαν,(2017),8.1
"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",Barry Lyndon,(1975),8.1
"William Wyler (dir.), Charlton Heston, Jack Hawkins",Μπεν Χουρ,(1959),8.1
"Raoul Walsh (dir.), James Cagney, Virginia Mayo",O megalos amartolos,(1949),8.0
"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",Η Ναυσικά της κοιλάδας των ανέμων,(1984),8.0
"Terry George (dir.), Don Cheadle, Sophie Okonedo",Hotel Rwanda,(2004),8.0
"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",Χαμένες αγάπες,(2000),8.0
"David Yates (dir.), Daniel Radcliffe, Emma Watson",Ο Χάρι Πότερ και οι κλήροι του θανάτου: Μέρος 2ο,(2011),8.0
"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",Ace in the Hole,(1951),8.0
"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",Spotlight: Όλα στο φως,(2015),8.0
"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",Τα 400 χτυπήματα,(1959),8.0
"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",Ο κύκλος των χαμένων ποιητών,(1989),8.0
"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",Ρεβέκκα,(1940),8.0
"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire","Ρόκι, τα χρυσά γάντια",(1976),8.0
"Pete Docter (dir.), Billy Crystal, John Goodman",Μπαμπούλας Α.Ε.,(2001),8.0
"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",Gangs of Wasseypur,(2012),8.0
"Frank Capra (dir.), Clark Gable, Claudette Colbert",Συνέβη μια νύχτα,(1934),8.0
"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",Το μίσος,(1995),8.0
"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",Η υπηρέτρια,(2016),8.0
"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",Lagaan: Once Upon a Time in India,(2001),8.0
"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",Τρελές ιστορίες έρωτα και φαντασίας,(1987),8.0
"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi",Munna Bhai M.B.B.S.,(2003),8.0
"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",PK,(2014),8.0
"George Roy Hill (dir.), Paul Newman, Robert Redford",Οι δύο ληστές,(1969),8.0
"Tate Taylor (dir.), Emma Stone, Viola Davis",Υπηρέτριες,(2011),8.0
"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",Πριν το ηλιοβασίλεμα,(2004),8.0
"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi","Swades: We, the People",(2004),8.0
"Luis Buñuel (dir.), Silvia Pinal, Jacqueline Andere",Ο εξολοθρευτής άγγελος,(1962),8.0
"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",Akira,(1988),8.0
"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",Ο εξολοθρευτής,(1984),8.0
"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",Ερωτική επιθυμία,(2000),8.0
"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",Παρίσι - Τέξας,(1984),8.0
"James Gunn (dir.), Chris Pratt, Vin Diesel",Φύλακες του γαλαξία,(2014),8.0
"Andrew Lau (dir.), Andy Lau, Tony Chiu-Wai Leung",Σατανικές υποθέσεις,(2002),8.0
"Ron Clements (dir.), Scott Weinger, Robin Williams",Αλαντίν,(1992),8.0
"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",Drishyam,(2015),8.0
"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",Η μάχη του Αλγερίου,(1966),8.0
"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",Το κάστρο στον ουρανό,(1986),8.0
